engineNumber,cycleNumber,sensor2,sensor3,sensor4,sensor7,sensor8,sensor9,sensor11,sensor12,sensor13,sensor14,sensor15,sensor17,sensor20,sensor21,RUL
1,1,549.68,1343.43,1112.93,137.36,2211.86,8311.32,41.69,129.78,2387.99,8074.83,9.3335,330,10.62,6.367,320
1,2,606.07,1477.61,1237.5,332.1,2323.66,8713.6,43.94,312.59,2387.73,8046.13,9.1913,361,24.37,14.6552,319
1,3,548.95,1343.12,1117.05,138.18,2211.92,8306.69,41.66,129.62,2387.97,8066.62,9.4007,329,10.48,6.4213,318
1,4,548.7,1341.24,1118.03,137.98,2211.88,8312.35,41.68,129.8,2388.02,8076.05,9.3369,328,10.54,6.4176,317
1,5,536.1,1255.23,1033.59,174.82,1915.22,7994.94,36.48,164.11,2028.08,7865.8,10.8366,305,14.03,8.6754,316
1,6,554.77,1352.87,1117.01,193.82,2222.77,8340.0,41.44,181.9,2387.87,8054.1,9.3346,330,14.91,8.9057,315
1,7,641.83,1583.47,1393.89,552.45,2387.92,9050.5,46.94,520.48,2387.89,8127.92,8.396,391,38.93,23.4578,314
1,8,549.05,1344.16,1110.77,137.13,2211.92,8307.28,41.6,129.65,2387.97,8075.99,9.3679,329,10.55,6.2787,313
1,9,549.55,1342.85,1101.67,138.02,2211.9,8307.81,41.44,129.65,2388.0,8071.13,9.3384,328,10.63,6.3055,312
1,10,536.35,1251.91,1041.37,174.7,1915.23,8005.83,36.24,164.08,2028.13,7869.41,10.9141,305,14.34,8.6119,311
1,11,606.88,1478.02,1233.07,333.22,2323.7,8709.62,43.86,312.96,2387.83,8050.06,9.1667,363,24.63,14.6705,310
1,12,554.53,1365.99,1122.73,193.67,2222.78,8337.46,41.45,181.71,2387.86,8056.31,9.3041,332,14.68,8.8752,309
1,13,536.32,1257.84,1040.87,174.53,1915.28,8000.07,36.42,163.67,2028.14,7865.15,10.8388,305,14.41,8.6062,308
1,14,607.32,1470.33,1242.41,333.71,2323.72,8714.35,43.92,313.3,2387.85,8051.34,9.2272,364,24.3,14.7105,307
1,15,536.12,1259.02,1037.54,174.83,1915.23,8004.94,36.43,163.43,2028.11,7863.73,10.9008,304,14.27,8.5551,306
